Average Fitness,Maximum Fitness,Dominant Fitness
1048.8,1056.85,1040.75
1052.33,1057.61,1054.87
1054.54,1059.47,1054.87
1056.11,1059.47,1056.27
1057.2,1060.49,1057.61
1058.23,1060.92,1059.12
1059.11,1061.66,1059.12
1059.8,1062.3,1060.49
1060.52,1063.1,1061.01
1061.07,1064.45,1061.54
1061.63,1064.64,1061.88
1062.25,1066.54,1063.1
1062.98,1067,1064.34
1063.79,1067,1064.34
1064.56,1067.2,1065.84
1065.27,1067.58,1067
1065.8,1067.91,1067
1066.18,1068.11,1067
1066.46,1068.37,1067.54
1066.75,1068.37,1067.54
1066.96,1068.59,1067.54
1067.1,1068.79,1068.11
1067.27,1068.91,1068.37
1067.45,1068.98,1068.37
1067.58,1069.12,1068.37
